, Time Taken (nS)
1,12365528100 nS
2,12042107900 nS
3,12660371800 nS
4,12337981300 nS
5,11985399400 nS
6,11959738300 nS
7,11904289100 nS
8,11514700100 nS
9,11183097000 nS
10,11267152400 nS
11,11229761100 nS
12,12581139100 nS
13,11279066400 nS
14,11230616200 nS
15,12460354400 nS
16,11236138500 nS
17,11157881400 nS
18,11135527000 nS
19,11078660900 nS
20,11097079800 nS
21,11135423500 nS
22,11057022700 nS
23,11125872200 nS
24,11440171100 nS
25,11772646400 nS
26,11431526100 nS
27,11166288300 nS
28,11260330900 nS
29,11054026800 nS
30,11169799700 nS
31,11035105900 nS
32,11034573100 nS
33,11139364100 nS
34,11156500300 nS
35,11249716100 nS
36,11070403300 nS
37,11235039700 nS
38,11071592400 nS
39,11096045800 nS
40,11491718200 nS
41,11004695200 nS
42,11212218100 nS
43,10934380600 nS
44,11261010400 nS
45,11089696700 nS
46,11251757000 nS
47,11114064200 nS
48,11006004200 nS
49,11072795400 nS
50,11157662900 nS
51,11141351900 nS
52,11594720100 nS
53,11928266200 nS
54,11170374700 nS
55,11241152500 nS
56,11238063400 nS
57,11060079700 nS
58,11182278200 nS
59,10981720100 nS
60,11178829000 nS
61,11023150000 nS
62,11196236300 nS
63,11135230000 nS
64,10963225800 nS
65,11150458300 nS
66,11039325900 nS
67,11127521700 nS
68,11128298100 nS
69,11067127300 nS
70,11177034300 nS
71,11240149800 nS
72,11045589000 nS
73,11072479800 nS
74,11145768400 nS
75,10973238500 nS
76,11079074700 nS
77,11148073900 nS
78,11163900500 nS
79,11103819900 nS
80,11886847600 nS
81,11448605800 nS
82,11078655300 nS
83,11111452800 nS
84,11020181900 nS
85,11250075700 nS
86,11138410700 nS
87,11275554100 nS
88,11115293000 nS
89,11153901100 nS
90,11258610800 nS
91,11151822400 nS
92,11262459700 nS
93,11097450800 nS
94,11124615600 nS
95,11038528900 nS
96,11190531400 nS
97,11155309700 nS
98,11132140600 nS
99,11046052800 nS
100,11253058900 nS
