Run, Time Taken (nS)
1,135638300 nS
2,125682300 nS
3,132644500 nS
4,144612200 nS
5,109706900 nS
6,125234100 nS
7,128655400 nS
8,116772400 nS
9,134639500 nS
10,151569500 nS
11,138629000 nS
12,132645500 nS
13,126661300 nS
14,115689400 nS
15,117685300 nS
16,132645000 nS
17,107711600 nS
18,110703900 nS
19,112696600 nS
20,132644500 nS
21,131649200 nS
22,128654400 nS
23,121674100 nS
24,103720900 nS
25,107711900 nS
26,106714300 nS
27,109706700 nS
28,108708900 nS
29,127658500 nS
30,125663100 nS
31,129652700 nS
32,132644100 nS
33,125663100 nS
34,119185500 nS
35,138628500 nS
36,126661600 nS
37,110703300 nS
38,107710300 nS
39,123668400 nS
40,122671200 nS
41,115692000 nS
42,123669500 nS
43,106714700 nS
44,112698000 nS
45,109706200 nS
46,116700900 nS
47,111701000 nS
48,111700300 nS
49,133643400 nS
50,118681200 nS
51,132644600 nS
52,132624700 nS
53,115690100 nS
54,117684100 nS
55,141621400 nS
56,134640400 nS
57,122670300 nS
58,131647500 nS
59,109706500 nS
60,144612900 nS
61,134639500 nS
62,132626000 nS
63,107711400 nS
64,109705400 nS
65,106696200 nS
66,117683700 nS
67,122671000 nS
68,123668800 nS
69,110704300 nS
70,147700300 nS
71,124667400 nS
72,128657800 nS
73,112696900 nS
74,133642000 nS
75,107711100 nS
76,104719800 nS
77,121692900 nS
78,154586900 nS
79,119679200 nS
80,114693300 nS
81,155586700 nS
82,131647900 nS
83,119678700 nS
84,136633000 nS
85,126661900 nS
86,112690700 nS
87,128656500 nS
88,129651700 nS
89,127649500 nS
90,127658100 nS
91,149601100 nS
92,117684200 nS
93,127674200 nS
94,109705500 nS
95,111701400 nS
96,131647800 nS
97,110703600 nS
98,126661000 nS
99,119679400 nS
100,112819000 nS
