Run, Time Taken (nS)
1,13476115200
2,13497086700
3,13454155400
4,13510359100
5,13502636800
6,13480953100
7,13465776700
8,13496564000
9,13451122400
10,13439222100
11,13458823500
12,13472602700
13,13578031300
14,13482713100
15,13432191100
16,13452583800
17,13453082100
18,13469139300
19,13436379300
20,13449165100
21,13472620800
22,13456051200
23,13455012500
24,13459206000
25,13434157500
26,13460879000
27,13444586000
28,13474255500
29,13453947800
30,13437948700
31,13497167300
32,13453490400
33,13463366900
34,13438267300
35,13448458100
36,13457114200
37,13493491800
38,13525977000
39,13491419500
40,13491604800
41,13505768000
42,13513402800
43,13495135100
44,13489862400
45,13478436700
46,13426789800
47,13434778000
48,13448203300
49,13431495100
50,13414921800
51,13444440000
52,13444723400
53,13454575600
54,13457591300
55,13433868900
56,13444269800
57,13459972800
58,13467537800
59,13447257600
60,13439363200
61,13470104400
62,13446152300
63,13485010100
64,13527523000
65,13510284800
66,13516604300
67,13537093800
68,13520176200
69,13551300000
70,13501620000
71,13499484400
72,13468501200
73,13504167800
74,13552315400
75,13497028200
76,13495888700
77,13517802800
78,13508574500
79,13497662200
80,13482359800
81,13525485300
82,13497338800
83,13512029400
84,13513567700
85,13503487500
86,13505998900
87,13496341400
88,13498572400
89,13508800400
90,13514668200
91,13503664000
92,13521789300
93,13514006200
94,13513967400
95,13529022000
96,13523562000
97,13504489200
98,13510092300
99,13506759100
100,13502277800
